name,email,phone,bio_url,img_url,city,state,population,city_site_url,next_election
Kenneth E. Gulley,kgulley@bessemeral.org,205-481-1138,https://www.bessemeral.org/mayors-office/,https://i2.wp.com/secure.usmayors.org/mayorphotos/Gulley_Kenneth!98.jpg?w=1100&ssl=1,Bessemer,AL, 26538,http://www.bessemeral.org,2022-08-25
Karin Wilson,karin.wilson@fairhopeal.gov,251-990-0100,http://www.cofairhope.com/city-government/city-officials/mayor,https://i2.wp.com/secure.usmayors.org/mayorphotos/Wilson_Karin!53197.jpg?w=1100&ssl=1,Fairhope,AL, 15326,http://www.cofairhope.com,2020-08-25
Frank D. Scott Jr.,mayorscott@littlerock.gov,501-371-4744,https://www.littlerock.gov/city-administration/mayors-office/,https://i1.wp.com/secure.usmayors.org/mayorphotos/Scott_Frank!54466.jpg?w=1100&ssl=1,Little Rock,AR, 197881,http://www.littlerock.gov,2022-11-08
George B. McGill,mayor@fortsmithar.gov,479-784-2437,,https://i2.wp.com/secure.usmayors.org/mayorphotos/McGill_George!54500.jpg?w=1100&ssl=1,Fort Smith,AR, 87845,http://www.fortsmithar.gov,2022-11-08
Lioneld Jordan,mayor@fayetteville-ar.gov,479-575-8330,http://www.accessfayetteville.org/526/Mayor,https://i2.wp.com/secure.usmayors.org/mayorphotos/Jordan_Lioneld!386.jpg?w=1100&ssl=1,Fayetteville,AR, 86751,http://www.accessfayetteville.org,2020-11-03
Doug Sprouse,dsprouse@springdalear.gov,479-750-8114,http://www.springdalear.gov/department/mayor_office/mayor_s_biography.php,https://i0.wp.com/secure.usmayors.org/mayorphotos/Sprouse_Doug!2821.jpg?w=1100&ssl=1,Springdale,AR, 81029,http://www.springdaleark.org,2020-11-03
Harold Perrin,hperrin@jonesboro.org,870-932-1052,,https://i0.wp.com/secure.usmayors.org/mayorphotos/Perrin_Harold!568.jpg?w=1100&ssl=1,Jonesboro,AR, 76990,http://www.jonesboro.org,2020-11-03
Greg Hines,ghines@rogersar.gov,479-621-1117,,https://i1.wp.com/secure.usmayors.org/mayorphotos/Hines_Greg!2681.JPG?w=1100&ssl=1,Rogers,AR, 67600,http://www.rogersar.gov,2020-11-03
Bart Castleberry,mayor@cityofconway.org,501-450-6110,,https://i2.wp.com/secure.usmayors.org/mayorphotos/Castleberry_Bart!53224.jpg?w=1100&ssl=1,Conway,AR, 66426,http://www.cityofconway.org,2020-11-03
Joe A. Smith,mayor@nlr.ar.gov,501-975-8601,http://nlr.ar.gov/government/a_z_department_list/mayor_s_office,https://i2.wp.com/secure.usmayors.org/mayorphotos/Smith_Joe!830.jpg?w=1100&ssl=1,North Little Rock,AR, 66127,http://nlr.ar.gov,2020-11-03
Stephanie Orman,sorman@bentonvillear.com,479-271-3112,,https://i2.wp.com/secure.usmayors.org/mayorphotos/Orman_Stephanie!54465.jpg?w=1100&ssl=1,Bentonville,AR, 51111,http://www.bentonvillear.com,2022-11-08
Shirley Washington,mayor@cityofpinebluff.com,870-730-2000,,https://i0.wp.com/secure.usmayors.org/mayorphotos/Washington_Shirley!53296.jpg?w=1100&ssl=1,Pine Bluff,AR, 42271,http://www.cityofpinebluff.com,2020-11-03
Pat McCabe,pmccabe@levihospital.com,501-276-1409,https://www.cityhs.net/directory.aspx?EID=384,https://i1.wp.com/secure.usmayors.org/mayorphotos/McCabe_Pat!54439.jpg?w=1100&ssl=1,Hot Springs,AR, 37169,http://www.cityhs.net,2022-11-08
Tom Farmer,info@bentonar.org,501-776-5906,,https://i2.wp.com/secure.usmayors.org/mayorphotos/Farmer_Tom!54464.jpg?w=1100&ssl=1,Benton,AR, 36403,https://www.bentonar.org,2022-11-08
Virginia Hillman Young,vyoung@cityofsherwood.net,501-835-6620,,https://i1.wp.com/secure.usmayors.org/mayorphotos/Young_Virginia!3616.jpg?w=1100&ssl=1,Sherwood,AR, 31237,http://www.cityofsherwood.net,2022-11-08
Allen L. Brown,ab@allenbrownmayor.com,870-773-1923,http://arkansas.txkusa.org/?page_id=860,https://i0.wp.com/secure.usmayors.org/mayorphotos/Brown_Allen!54467.jpg?w=1100&ssl=1,Texarkana,AR, 29972,http://arkansas.txkusa.org,2022-11-08
Peter Christie,pchristie@bellavistaar.gov,,,https://i0.wp.com/secure.usmayors.org/mayorphotos/Christie_Peter!54762.jpg?w=1100&ssl=1,Bella Vista,AR, 28511,https://www.bellavistaar.gov,2020-10-19
Kate Gallego,mayor.gallego@phoenix.gov,602-262-7111,https://www.phoenix.gov/mayor,https://i0.wp.com/secure.usmayors.org/mayorphotos/0034N00001nS4x4QAC.jpg?w=1100&ssl=1,Phoenix,AZ, 1660272,http://www.phoenix.gov,2020-11-03
Regina Romero,mayor.romero@tucsonaz.gov,520-791-4201,https://www.tucsonaz.gov/mayor,https://i1.wp.com/secure.usmayors.org/mayorphotos/Romero_Romero!54772.jpg?w=1100&ssl=1,Tucson,AZ, 545975,http://www.tucsonaz.gov,2023-11-07
John Giles,mayor@mesaaz.gov,480-644-2388,http://www.mesaaz.gov/mayor/,https://i1.wp.com/secure.usmayors.org/mayorphotos/0036100000IFgEAAA1.jpg?w=1100&ssl=1,Mesa,AZ, 508958,http://www.mesaaz.gov,2024-08-06
Kevin Hartke,kevin.hartke@chandleraz.gov,480-782-2200,https://www.chandleraz.gov/government/mayor-and-council,https://i2.wp.com/secure.usmayors.org/mayorphotos/Hartke_Kevin!54553.jpg?w=1100&ssl=1,Chandler,AZ, 257165,http://www.chandleraz.org,2022-11-08
W.J. 'Jim' Lane,jlane@scottsdaleaz.gov,480-312-2433,http://www.scottsdaleaz.gov/council/mayor-jim-lane,https://i0.wp.com/secure.usmayors.org/mayorphotos/Lane_WJ!1075.jpg?w=1100&ssl=1,Scottsdale,AZ, 255310,http://www.scottsdaleaz.gov,2020-08-04
Jerry Weiers,glendalemayor@glendaleaz.com,623-930-2260,https://www.glendaleaz.com/your_government/city_council/mayor_jerry_weiers,https://i0.wp.com/secure.usmayors.org/mayorphotos/Weiers_Jerry!441.jpg?w=1100&ssl=1,Glendale,AZ, 250702,http://www.glendaleaz.com,2024-08-06
Jenn Daniels,mayor@gilbertaz.gov,480-503-6860,https://www.gilbertaz.gov/Home/Components/StaffDirectory/StaffDirectory/96/23,https://i1.wp.com/secure.usmayors.org/mayorphotos/Daniels_Jenn!53110.jpg?w=1100&ssl=1,Gilbert,AZ, 248279,http://www.gilbertaz.gov,2020-11-03
Corey Woods,corey_woods@tempe.gov,480-350-8793,https://www.tempe.gov/government/mayor-and-city-council/corey-d-woods-mayor,https://i1.wp.com/secure.usmayors.org/mayorphotos/0034N00002decRs.jpg?w=1100&ssl=1,Tempe,AZ, 192364,http://www.tempe.gov,2024-03-12
Cathy Carlat,briana.decker@peoriaaz.gov,623-773-7306,http://www.peoriaaz.gov/NewSecondary.aspx?id=53401,https://i1.wp.com/secure.usmayors.org/mayorphotos/Carlat_Cathy!906.JPG?w=1100&ssl=1,Peoria,AZ, 172259,http://ci.peoria.az.us,2022-11-08
Skip Hall,mayor@surpriseaz.gov,623-222-1300,,https://i0.wp.com/secure.usmayors.org/mayorphotos/Hall_Skip!54530.jpg?w=1100&ssl=1,Surprise,AZ, 138161,http://www.surpriseaz.com,2024-08-06
Douglas J. Nicholls,douglas.nicholls@yumaaz.gov,928-373-5002,http://www.yumaaz.gov/mayor-and-council/mayor/index.html,https://i1.wp.com/secure.usmayors.org/mayorphotos/Nicholls_Douglas!1312.jpg?w=1100&ssl=1,Yuma,AZ, 97908,http://www.ci.yuma.az.us,2021-11-02
Kenn Weise,kweise@avondaleaz.gov,623-333-1917,https://www.avondaleaz.gov/government/mayor-council/mayor-weise,https://i1.wp.com/secure.usmayors.org/mayorphotos/Weise_Kenn!1408.jpg?w=1100&ssl=1,Avondale,AZ, 85835,https://www.avondaleaz.gov,2020-11-03
Georgia Lord,georgia.lord@goodyearaz.gov,623-882-7776,http://www.goodyearaz.gov/government/mayor-council/mayor-georgia-lord,https://i1.wp.com/secure.usmayors.org/mayorphotos/Lord_Georgia!1934.JPG?w=1100&ssl=1,Goodyear,AZ, 82835,http://www.goodyearaz.gov,2021-03-16
Jackie A. Meck,jmeck@buckeyeaz.gov,623-349-6949,https://www.buckeyeaz.gov/government/city-clerk/mayor-and-council/jackie-a-meck,https://i1.wp.com/secure.usmayors.org/mayorphotos/Meck_Jackie!3300.JPG?w=1100&ssl=1,Buckeye,AZ, 74370,http://www.buckeyeaz.gov,2020-11-03
Coral Evans,cevans@flagstaffaz.gov,928-774-5281,http://www.flagstaff.az.gov/index.aspx?nid=2620,https://i2.wp.com/secure.usmayors.org/mayorphotos/Evans_Coral!53229.jpg?w=1100&ssl=1,Flagstaff,AZ, 73964,http://www.flagstaff.az.gov,2020-11-03
Craig McFarland,craig_mcfarland@casagrandeaz.gov,520-421-8600,http://casagrandeaz.gov/council/members/,https://i0.wp.com/secure.usmayors.org/mayorphotos/McFarland_Craig!53223.jpg?w=1100&ssl=1,Casa Grande,AZ, 57232,http://casagrandeaz.gov,2020-11-03
Cal Sheehy,sheehyc@lhcaz.gov,928-453-4152,,https://i1.wp.com/secure.usmayors.org/mayorphotos/Sheehy_Cal!54502.jpg?w=1100&ssl=1,Lake Havasu City,AZ, 55090,http://www.lhcaz.gov,2022-11-08
Christian Price,christian.price@maricopa-az.gov,520-316-6828,http://www.maricopa-az.gov/web/departments/mayor-city-council/mayor-christian-price,https://i1.wp.com/secure.usmayors.org/mayorphotos/Price_Christian!3407.JPG?w=1100&ssl=1,Maricopa,AZ, 50024,http://maricopa-az.gov,2020-11-03
Ed Honea,ehonea@marana.com,520-382-1999,http://www.marana.com/index.aspx?NID=99,https://i0.wp.com/secure.usmayors.org/mayorphotos/Honea_Ed!3495.jpg?w=1100&ssl=1,Marana,AZ, 47007,http://www.marana.com,2024-08-06
Kell Palguta,council@pvaz.net,928-759-3000,,https://i2.wp.com/secure.usmayors.org/mayorphotos/Palguta_Kell!54505.jpg?w=1100&ssl=1,Prescott Valley,AZ, 45751,http://www.pvaz.net,2022-11-08
Joe Winfield,jwinfield@orovalleyaz.gov,520-229-4991,https://www.orovalleyaz.gov/town/mayor-and-council/mayor-joe-winfield,https://i2.wp.com/secure.usmayors.org/mayorphotos/Winfield_Joe!54504.jpg?w=1100&ssl=1,Oro Valley,AZ, 45395,http://www.orovalleyaz.gov,2022-11-08
Rick Mueller,rick.mueller@sierravistaaz.gov,520-458-3315,http://www.sierravistaaz.gov/egov/apps/directory/list.egov?path=pro&usr=15688&opt=0,https://i1.wp.com/secure.usmayors.org/mayorphotos/Mueller_Rick!1089.JPG?w=1100&ssl=1,Sierra Vista,AZ, 44420,http://www.ci.sierra-vista.az.us,2022-11-08
Greg Mengarelli,greg.mengarelli@prescott-az.gov,928-777-1100,http://www.prescott-az.gov/leadership/?id=1,https://i2.wp.com/secure.usmayors.org/mayorphotos/Mengarelli_Greg!53944.jpg?w=1100&ssl=1,Prescott,AZ, 43314,http://prescott-az.gov,2021-11-02
Gail Barney,gail.barney@queencreek.org,480-987-9887,http://www.queencreek.org/town-hall/town-council/mayor-gail-barney,https://i0.wp.com/secure.usmayors.org/mayorphotos/Barney_Gail!2626.jpg?w=1100&ssl=1,Queen Creek,AZ, 42503,http://www.queencreek.org,2022-11-08
Jeff Serdy,jserdy@ajcity.net,480-474-5066,http://www.ajcity.net/282/Our-City-Council,https://i1.wp.com/secure.usmayors.org/mayorphotos/Serdy_Jeff!53297.jpg?w=1100&ssl=1,Apache Junction,AZ, 41739,http://www.ajcity.net,2020-11-03
Tom Brady,tbrady@bullheadcity.com,928-763-0122,,https://i2.wp.com/secure.usmayors.org/mayorphotos/Brady_Tom!1546.jpg?w=1100&ssl=1,Bullhead City,AZ, 40421,http://www.bullheadcity.com,2022-11-08
Alexis Hermosillo,ahermosillo@elmirageaz.gov,623-876-2924,,https://i0.wp.com/secure.usmayors.org/mayorphotos/Hermosillo_Alexis!54501.jpg?w=1100&ssl=1,El Mirage,AZ, 35670,http://www.cityofelmirage.org,2022-11-08
Gerardo 'Jerry' Sanchez,gsanchez@cityofsanluis.org,928-341-8520,http://www.cityofsanluis.org/Directory.aspx?EID=34,https://i0.wp.com/secure.usmayors.org/mayorphotos/Sanchez_Gerardo!3617.jpg?w=1100&ssl=1,San Luis,AZ, 33490,http://www.cityofsanluis.org,2022-11-08
Eric Garcetti,mayor.garcetti@lacity.org,213-978-0600,http://www.lamayor.org/about,https://i2.wp.com/secure.usmayors.org/mayorphotos/0036100000IFgDVAA1.jpg?w=1100&ssl=1,Los Angeles,CA, 3990456,http://www.lamayor.org/,2021-03-02
Kevin L. Faulconer,kevinfaulconer@sandiego.gov,619-236-6330,http://www.sandiego.gov/mayor/about/fullbio.shtml,https://i2.wp.com/secure.usmayors.org/mayorphotos/Faulconer_Kevin!1038.jpg?w=1100&ssl=1,San Diego,CA, 1425976,http://www.sandiego.gov,2020-11-03
Sam Liccardo,mayoremail@sanjoseca.gov,408-535-4800,https://www.sanjoseca.gov/your-government/departments/city-council/members/mayor-s-office,https://i2.wp.com/secure.usmayors.org/mayorphotos/0036100000IFgI5AAL.jpg?w=1100&ssl=1,San Jose,CA, 1030119,http://www.sanjoseca.gov,2022-06-07
London N. Breed,mayorlondonbreed@sfgov.org,415-554-6141,https://sfmayor.org/about-mayor,https://i2.wp.com/secure.usmayors.org/mayorphotos/0036100001ZvLN2AAN.jpg?w=1100&ssl=1,San Francisco,CA, 883305,http://www.sfgov.org,2023-11-07
Lee Brand,mayor@fresno.gov,559-621-8000,https://www.fresno.gov/mayor/about-the-mayor/,https://i2.wp.com/secure.usmayors.org/mayorphotos/Brand_Lee!53218.jpg?w=1100&ssl=1,Fresno,CA, 530093,http://www.fresno.gov,2020-11-03
Darrell Steinberg,mdsteinberg@cityofsacramento.org,916-808-5300,http://www.cityofsacramento.org/Mayor-Council/Districts/Mayor/Biography,https://i2.wp.com/secure.usmayors.org/mayorphotos/0036100000y0GjBAAU.jpg?w=1100&ssl=1,Sacramento,CA, 508529,http://www.cityofsacramento.org,2024-06-04
Robert Garcia,mayor@longbeach.gov,562-570-6801,http://www.longbeach.gov/mayor/about/meet-mayor-garcia/,https://i1.wp.com/secure.usmayors.org/mayorphotos/0036100000IFgDPAA1.jpg?w=1100&ssl=1,Long Beach,CA, 467354,http://www.longbeach.gov,2022-06-07
Libby Schaaf,officeofthemayor@oaklandnet.com,510-238-3141,https://ballotpedia.org/Libby_Schaaf,https://i1.wp.com/secure.usmayors.org/mayorphotos/0036100000IFgFhAAL.jpg?w=1100&ssl=1,Oakland,CA, 429082,http://www.oaklandnet.com,2022-11-08
Karen K. Goh,mayor@bakersfieldcity.us,661-326-3770,http://www.bakersfieldcity.us/gov/elected_officials/mayor/default.htm,https://i2.wp.com/secure.usmayors.org/mayorphotos/Goh_Karen!53239.jpg?w=1100&ssl=1,Bakersfield,CA, 383579,http://www.bakersfieldcity.us,2020-11-03
Harry Sidhu,,714-765-5247,http://www.anaheim.net/5174/Mayor-Harry-Sidhu,https://i0.wp.com/secure.usmayors.org/mayorphotos/Sidhu_Harry!54469.jpg?w=1100&ssl=1,Anaheim,CA, 352005,http://www.anaheim.net,2022-11-08
Miguel A. Pulido,mpulido@santa-ana.org,714-647-6900,http://www.santa-ana.org/elected_officials/mayor/,https://i1.wp.com/secure.usmayors.org/mayorphotos/0036100000IFgJ4AAL.jpg?w=1100&ssl=1,Santa Ana,CA, 332725,http://www.santa-ana.org,2020-11-03
Rusty Bailey,rbailey@riversideca.gov,951-826-5551,http://www.riversideca.gov/mayor/meet-mayor.asp,https://i1.wp.com/secure.usmayors.org/mayorphotos/Bailey_Rusty!990.jpg?w=1100&ssl=1,Riverside,CA, 330063,http://www.riversideca.gov,2020-03-03
Michael D. Tubbs,mayor@stocktonca.gov,209-937-8244,http://www.stocktongov.com/government/council/mayor.html,https://i0.wp.com/secure.usmayors.org/mayorphotos/0036100000ycC0EAAU.jpg?w=1100&ssl=1,Stockton,CA, 311178,http://www.stocktongov.com,2020-11-03
Christina L. Shea,christinashea@cityofirvine.org,949-724-6233,https://www.cityofirvine.org/city-council/mayor-christina-l-shea,https://i2.wp.com/secure.usmayors.org/mayorphotos/Shea_Christina!54699.jpg?w=1100&ssl=1,Irvine,CA, 282572,http://www.cityofirvine.org,2020-11-03
Mary Casillas Salas,msalas@chulavistaca.gov,619-691-5044,http://www.ci.chula-vista.ca.us/departments/mayor-and-council/mayor-casillas-salas,https://i2.wp.com/secure.usmayors.org/mayorphotos/Salas_Mary!217.JPG?w=1100&ssl=1,Chula Vista,CA, 271651,http://www.chulavistaca.gov,2022-11-08
Lily Mei,lmei@fremont.gov,510-284-4011,https://fremont.gov/701/Lily-Mei-Mayor,https://i1.wp.com/secure.usmayors.org/mayorphotos/0036100000y2SP6AAM.jpg?w=1100&ssl=1,Fremont,CA, 237807,http://www.fremont.gov,2020-11-03
John Valdivia,mayor@sbcity.org,909-384-5133,http://www.ci.san-bernardino.ca.us/cityhall/mayor/about_the_mayor/default.asp,https://i1.wp.com/secure.usmayors.org/mayorphotos/0036100001iFXa4AAG.jpg?w=1100&ssl=1,San Bernardino,CA, 215941,http://www.ci.san-bernardino.ca.us,2022-11-08
Ted Brandvold,mayor@modestogov.com,209-577-5230,http://www.modestogov.com/717/Mayor-Ted-Brandvold,https://i1.wp.com/secure.usmayors.org/mayorphotos/Brandvold_Ted!760.JPG?w=1100&ssl=1,Modesto,CA, 215030,http://www.ci.modesto.ca.us,2020-11-03
Acquanetta Warren,awarren@fontana.org,909-350-7601,http://www.fontana.org/directory.aspx?EID=3,https://i0.wp.com/secure.usmayors.org/mayorphotos/0036100000IFgABAA1.jpg?w=1100&ssl=1,Fontana,CA, 213739,http://www.fontana.org,2022-11-08
Cameron Smyth,csmyth@santa-clarita.com,661-255-4311,https://www.santa-clarita.com/city-hall/city-council/mayor-cameron-smyth,https://i1.wp.com/secure.usmayors.org/mayorphotos/Smyth_Cameron!54986.jpg?w=1100&ssl=1,Santa Clarita,CA, 210089,http://www.santa-clarita.com,2021-01-01
Timothy B. Flynn,timbflynn@gmail.com,805-385-7430,http://citycouncil.cityofoxnard.org/page/3/90,https://i2.wp.com/secure.usmayors.org/mayorphotos/Flynn_Timothy!878.JPG?w=1100&ssl=1,Oxnard,CA, 209877,http://www.ci.oxnard.ca.us,2020-11-03
Yxstian Gutierrez,yxstiang@moval.org,951-413-3008,https://www.nu.edu/ourprograms/schoolofeducation/specialeducation/faculty/yxstian-gutierrez/,https://i0.wp.com/secure.usmayors.org/mayorphotos/Gutierrez_Yxstian!774.JPG?w=1100&ssl=1,Moreno Valley,CA, 209050,http://www.ci.moreno-valley.ca.us,2020-11-03
Vrej Agajanian,vagajanian@glendaleca.gov,818-548-2090,https://www.glendaleca.gov/government/city-council/councilmember-vrej-agajanian,https://i2.wp.com/secure.usmayors.org/mayorphotos/0034N00002iT6N1.jpg?w=1100&ssl=1,Glendale,CA, 201361,https://www.glendaleca.gov/,2021-04-27
Lyn Semeta,lyn.semeta@surfcity-hb.org,714-536-5553,https://www.huntingtonbeachca.gov/government/elected_officials/city_council/council_bios/semeta.cfm,https://i0.wp.com/secure.usmayors.org/mayorphotos/Semeta_Lyn!54913.jpg?w=1100&ssl=1,Huntington Beach,CA, 200641,https://www.huntingtonbeachca.gov/,2020-12-01
Paul S. Leon,pleon@ci.ontario.ca.us,909-395-2000,https://www.ontarioca.gov/public-officials/paul-s-leon,https://i1.wp.com/secure.usmayors.org/mayorphotos/Leon_Paul!866.JPG?w=1100&ssl=1,Ontario,CA, 181107,http://www.ci.ontario.ca.us,2022-11-08
L Dennis Michael,council@cityofrc.us,909-477-2700,http://www.cityofrc.us/cityhall/council/michael.asp,https://i1.wp.com/secure.usmayors.org/mayorphotos/Michael_Dennis!964.JPG?w=1100&ssl=1,Rancho Cucamonga,CA, 177751,http://www.ci.rancho-cucamonga.ca.us,2022-11-08
Tom Schwedhelm,tschwedhelm@srcity.org,707-543-3017,https://srcity.org/Directory.aspx?EID=380,https://i2.wp.com/secure.usmayors.org/mayorphotos/Schwedhelm_Tom!54592.jpg?w=1100&ssl=1,Santa Rosa,CA, 177586,http://www.srcity.org,2020-12-01
Peter Weiss,pweiss@ci.oceanside.ca.us,760-966-4401,https://www.ci.oceanside.ca.us/gov/council/mayor.asp,https://i1.wp.com/secure.usmayors.org/mayorphotos/Weiss_Peter!54660.jpg?w=1100&ssl=1,Oceanside,CA, 176080,http://www.ci.oceanside.ca.us,2020-11-03
Steve Ly,stevely@elkgrovecity.org,916-478-2279,http://www.elkgrovecity.org/mayor,https://i1.wp.com/secure.usmayors.org/mayorphotos/Ly_Steve!53195.jpg?w=1100&ssl=1,Elk Grove,CA, 172886,http://www.elkgrovecity.org,2020-11-03
Steven R. Jones,mayor@garden-grove.org,714-741-5104,https://www.ci.garden-grove.ca.us/citymanager/CityCouncil/Mayor-steven-r-jones,https://i0.wp.com/secure.usmayors.org/mayorphotos/Jones_Steven!53307.jpg?w=1100&ssl=1,Garden Grove,CA, 172646,http://www.ci.garden-grove.ca.us,2020-11-03
Jim Steiner,jim.steiner@coronaca.gov,951-736-2370,,https://i1.wp.com/secure.usmayors.org/mayorphotos/Steiner_Jim!54903.jpg?w=1100&ssl=1,Corona,CA, 168819,http://www.discovercorona.com,2020-12-01
Barbara Halliday,barbara.halliday@hayward-ca.gov,510-583-4340,https://www.hayward-ca.gov/your-government/city-council/mayor-barbara-halliday,https://i0.wp.com/secure.usmayors.org/mayorphotos/Halliday_Barbara!498.jpg?w=1100&ssl=1,Hayward,CA, 159620,http://www.hayward-ca.gov,2022-11-08
R Rex Parris,rrparris@cityoflancasterca.org,661-723-6019,http://www.cityoflancasterca.org/about-us/city-government/city-officials/city-council/mayor-r-rex-parris,https://i1.wp.com/secure.usmayors.org/mayorphotos/Parris_R_Rex!612.jpg?w=1100&ssl=1,Lancaster,CA, 159053,http://www.cityoflancasterca.org,2024-04-16
Steven D. Hofbauer,shofbauer@cityofpalmdale.org,661-267-5100,http://www.cityofpalmdale.org/Your-City-Hall/City-Council,https://i1.wp.com/secure.usmayors.org/mayorphotos/Hofbauer_Steven!54515.jpg?w=1100&ssl=1,Palmdale,CA, 156667,http://www.cityofpalmdale.org,2020-11-03
